Date,Actual_Price,Linear_Regression,Random_Forest,Gradient_Boosting,ARIMA
2018-05-26,735588.0,827941.3821203563,491867.86,438232.54193944746,434850.0935576683
2018-05-27,736822.0,801667.4072291775,498138.26,438452.71230363636,434849.9858605221
2018-05-28,713599.0,774442.2769560582,508549.38,471166.5144629406,434850.08582447754
2018-05-29,747259.0,776392.4412256943,504789.32,469666.1662197901,434849.99303843133
2018-05-30,740652.0,848931.566305556,421297.38,141636.57688946908,434850.0791619779
2018-05-31,749417.0,742250.3332216743,480640.49,438013.39925101405,434849.99922253034
2018-06-01,754145.0,731224.6055454894,393961.15,270044.8876340186,434850.0734219279
2018-06-02,764345.0,774442.5708445177,500565.25,393571.71801685705,434850.00455041614
2018-06-03,772025.0,780607.2042799736,501030.77,393828.70710507396,434850.0684766108
2018-06-04,751447.0,791826.9747560284,511621.74,425977.5722424128,434850.0091406349
2018-06-05,763376.0,867905.9925596983,311676.17,128559.40949297042,434850.06421599264
2018-06-06,765398.0,851384.9610046212,510268.9,427258.4517330443,434850.01309531956
2018-06-07,767824.0,854065.6806386089,504697.85,394582.14809236623,434850.060545274
2018-06-08,762492.0,943216.4113396589,422134.54,142822.4211020694,434850.01650246227
2018-06-09,753198.0,856178.4803071482,498148.02,394667.77328852256,434850.057382781
2018-06-10,678602.0,825010.0508005447,493838.72,394334.13694313087,434850.01943787246
2018-06-11,690692.0,836720.2960052658,507751.47,427029.5431739652,434850.0546581478
2018-06-12,658236.0,806333.512946609,500179.17,426427.32182509545,434850.0219668634
2018-06-13,63499.0,612720.7264605432,495874.68,425211.6249355665,434850.052310751
2018-06-14,667535.0,757176.9797103198,594499.88,663420.3368320682,434850.0241457055
2018-06-15,645658.0,565408.5951999472,489753.11,392638.0689466699,434850.0502883607
2018-06-16,655016.0,553128.8277490614,488594.51,393132.8413060091,434850.0260228782
2018-06-17,649927.0,552139.4230656803,489530.03,393389.830394226,434850.0485459783
2018-06-18,673482.0,555461.7928101001,500379.67,425631.7188134872,434850.0276401488
2018-06-19,676994.0,537844.2084676914,484422.14,425366.8003906329,434850.0470448358
